Gift1 1 16 31
Gift2 2 12 32
Gift3 1 14 29
Gift4 1 20 25
Gift5 3 14 28
Gift6 3 13 33
Gift7 2 12 27
Gift8 2 17 33
Gift9 1 12 26
Gift10 2 19 31
Gift11 1 19 29
Gift12 1 20 31
Gift13 1 20 27
Gift14 3 15 31
Gift15 2 15 31
Gift16 3 16 30
Gift17 3 14 30
Gift18 1 21 32
Gift19 2 13 33
Gift20 1 14 30
Gift21 2 20 29
Gift22 2 16 27
Gift23 2 12 25
Gift24 2 12 24
Gift25 2 13 27
Gift26 3 17 24
Gift27 2 20 30
Gift28 3 12 25
Gift29 2 21 25
Gift30 2 18 28
Gift31 1 12 25
Gift32 1 19 25
Gift33 1 17 30
Gift34 2 16 29
Gift35 2 16 27
Gift36 2 15 26
Gift37 1 21 33
Gift38 1 17 27
Gift39 1 21 31
Gift40 2 18 24
Gift41 1 12 29
Gift42 1 16 32
Gift43 1 13 30
Gift44 1 18 33
Gift45 2 18 29
Gift46 2 13 33
Gift47 1 13 30
Gift48 2 20 33
Gift49 3 13 32
Gift50 2 20 28
Gift51 2 17 24
Gift52 3 13 26
Gift53 2 15 28
Gift54 3 21 27
Gift55 3 17 33
Gift56 3 20 33
Gift57 3 16 26
Gift58 1 14 26
Gift59 2 17 27
Gift60 2 15 31
Gift61 3 19 25
Gift62 3 16 25
Gift63 2 13 29
Gift64 2 14 28
Gift65 2 20 24
Gift66 2 18 26
Gift67 1 13 27
Gift68 1 13 28
Gift69 2 12 29
Gift70 2 12 29
Gift71 2 17 33
Gift72 2 20 25
Gift73 2 18 30
Gift74 2 12 27
Gift75 2 12 26
Gift76 1 21 27
Gift77 2 17 29
Gift78 1 19 29
Gift79 2 13 25
Gift80 2 21 29
Gift81 2 20 26
Gift82 2 15 29
Gift83 1 13 27
Gift84 2 14 26
Gift85 1 13 25
Gift86 2 17 31
Gift87 1 17 26
Gift88 2 18 25
Gift89 2 17 26
Gift90 2 21 30
Gift91 2 21 29
Gift92 2 20 25
Gift93 1 13 29
Gift94 3 15 26
Gift95 2 17 28
Gift96 3 20 26
Gift97 1 21 29
Gift98 2 21 33
Gift99 1 17 30
Gift100 2 14 33
